,Stationarity,ACF,PACF,YMean,TypeData,YStd,CosineYMean,SineYMean,MaxY,MinY,MedianY,25PercY,75PercY,RBFY,NoOfHolidays,bestmodel
0,0,0.9408886207632864,0.6682690070853438,4.175945017182131,1,2.172401352960768,-0.3456215739654626,0.06273164764444195,13.42,1.63,3.5,2.645,5.29,0.029300998489312682,23,2
1,0,0.8868170099768008,0.7797633357146639,240900.60689655173,1,34409.78337993599,0.046234660992908405,-0.007028381163328986,318991.0,161926.0,239212.0,221130.0,265615.0,0.0,11,1
2,1,0.4088524590163934,0.3207563762946903,8.36,1,0.6377042156569664,-0.410425151109928,0.7087830197830993,9.0,7.0,8.0,8.0,9.0,1.837867809753136e-12,3,0
3,0,0.5710693421987206,0.5052422903854498,0.00026944748837048,1,0.00027934098390175075,0.9999999262439644,0.0002694474702861323,0.000993443274389,0.0,0.0001495289837013,7.93335977786e-05,0.0003608805485384,0.9999999262439716,3,0
4,0,0.7342826811584958,0.5597336807621767,0.09092172045701849,1,0.017408703133089783,0.995727481539554,0.09078315246387614,0.123207460413254,0.0686059960337932,0.0871715138285846,0.0794405992044858,0.10487777653756,0.995734424353307,2,0
5,1,0.43820097389503926,0.4278038723365835,0.007851393696836132,1,0.00232493476177839,0.9999665834736672,0.007851295846500399,0.0107076768293778,0.0006234731529607,0.0085291828793774,0.0070964950237992,0.009230592821924,0.9999665839127577,3,1
6,0,0.7258819581050023,0.5987899106106279,0.17621769280659105,1,0.015494215229047,0.9844003344781919,0.17528700957531373,0.1997217397009561,0.1453644672815206,0.1775107443402552,0.164313895053907,0.1896541768959752,0.9844835951783415,3,1
7,1,0.2527106272715764,0.2356193622965762,0.05417770867456799,1,0.07896626434060885,0.9956287083509414,0.05378773322648187,0.3333333333333333,0.0,0.036697247706422,0.0,0.0575,0.9956888915232724,2,2
8,0,0.37903387973032127,0.3821561750486259,0.00028261261333722,1,0.00035401024207549537,0.9999998999099057,0.00028261257881026405,0.0015302218821729,0.0,0.000155738981467,0.0,0.0004198152812762,0.9999998999099274,3,1
9,0,0.8060241034772978,0.6773347205422188,14866.807692307691,2,4159.901639289939,-0.01456188870370308,0.05817005283703868,25382.0,4514.0,13952.0,12753.25,14719.75,0.0,7,2
10,1,0.7117438351415011,0.447413954092476,49.84864263461538,2,3.1161058836525815,0.2245717586093638,0.03250245017755218,59.171621,43.146586,49.850904,48.302956,51.026661749999995,0.0,7,0
11,1,0.7417793487608101,0.5580906459496074,124549241.52,2,29194701.328196276,-0.01891551801666599,-0.052850426489539665,177421862.0,50410674.0,130195598.0,109309942.0,143375627.0,0.0,9,1
12,1,0.3380368734928106,0.3384580783035694,9746.923837166667,2,6181.478764678502,0.034445031221256146,-0.18210405169906438,21552.633669,563.318845,10134.3880675,4834.37725075,14068.550345,0.0,2,1
